# tag, sector, industry, tag_id
VOD.L, Communication Services, Telecom Services, 1
KNBWY, Consumer Defensive, Beverages - Brewers, 5596
KNCRY, Industrials, Farm & Heavy Construction Machinery, 5597
KNDI, Consumer Cyclical, Auto Parts, 5598
KNL, Industrials, Business Equipment & Supplies, 5600
KNOS.L, Industrials, Pollution & Treatment Controls, 5601
KNRRY, Consumer Cyclical, Auto Parts, 5602
KNSA, Healthcare, Biotechnology, 5603
KNSL, Financial Services, Insurance - Property & Casualty, 5604
KNTE, Healthcare, Biotechnology, 5605
KNX, Industrials, Trucking, 5606
KNYJY, Industrials, Specialty Industrial Machinery, 5607
KO, Consumer Defensive, Beverages - Non-Alcoholic, 5608
KOD, Healthcare, Biotechnology, 5609
KOD.L, Healthcare, Biotechnology, 5610
KODK, Industrials, Specialty Business Services, 5611
KOF, Consumer Defensive, Beverages - Non-Alcoholic, 5612
KOP, Basic Materials, Specialty Chemicals, 5614
KOPN, Technology, Electronic Components, 5615
KOS, Energy, Oil & Gas E&P, 5616
KOSS, Technology, Consumer Electronics, 5617
KOTMY, Consumer Cyclical, Auto Parts, 5618
KPLUY, Basic Materials, Agricultural Inputs, 5620
KPTI, Healthcare, Biotechnology, 5622
KR, Consumer Defensive, Grocery Stores, 5623
KRA, Basic Materials, Specialty Chemicals, 5624
KRBP, Healthcare, Biotechnology, 5625
KRC, Real Estate, REIT - Office, 5626
KRKNF, Technology, Scientific & Technical Instruments, 5627
KRKR, Communication Services, Internet Content & Information, 5628
KRMD, Healthcare, Medical Instruments & Supplies, 5630
KRNL, Financial Services, Shell Companies, 5632
KRNT, Industrials, Specialty Industrial Machinery, 5633
KRNTY, Industrials, Specialty Industrial Machinery, 5634
KRNY, Financial Services, Banks - Regional, 5635
KRO, Basic Materials, Specialty Chemicals, 5636
KRON, Healthcare, Biotechnology, 5637
KROS, Healthcare, Biotechnology, 5638
KRT, Consumer Cyclical, Packaging & Containers, 5640
KRTX, Healthcare, Biotechnology, 5641
KRUS, Consumer Cyclical, Restaurants, 5642
KRYAY, Consumer Defensive, Packaged Foods, 5643
KRYS, Healthcare, Biotechnology, 5644
KSBI, Financial Services, Banks - Regional, 5646
KSHB, Consumer Cyclical, Packaging & Containers, 5647
KSMT, Financial Services, Shell Companies, 5648
KSPN, Consumer Cyclical, Specialty Retail, 5650
KSRYY, Consumer Defensive, Household & Personal Products, 5651
KSS, Consumer Cyclical, Department Stores, 5652
KSU, Industrials, Railroads, 5653
KT, Communication Services, Telecom Services, 5654
KTB, Consumer Cyclical, Apparel Manufacturing, 5656
KTCC, Technology, Computer Hardware, 5657
KTHN, Financial Services, Banks - Regional, 5660
KTOS, Industrials, Aerospace & Defense, 5661
KTRA, Healthcare, Biotechnology, 5662
KTYB, Financial Services, Banks - Regional, 5663
KUBTY, Industrials, Farm & Heavy Construction Machinery, 5665
KUKAY, Industrials, Specialty Industrial Machinery, 5666
KUKE, Communication Services, Entertainment, 5667
KURA, Healthcare, Biotechnology, 5668
KURI, Financial Services, Shell Companies, 5670
KURRY, Basic Materials, Chemicals, 5671
KVHI, Technology, Communication Equipment, 5672
KVSA, Financial Services, Shell Companies, 5673
KVSB, Financial Services, Shell Companies, 5674
KVSC, Financial Services, Shell Companies, 5675
KW, Real Estate, Real Estate Services, 5677
KWAC, Financial Services, Shell Companies, 5678
KWBT, Basic Materials, Agricultural Inputs, 5679
KWHIY, Industrials, Specialty Industrial Machinery, 5682
KWPCY, Consumer Defensive, Packaged Foods, 5683
KWR, Basic Materials, Specialty Chemicals, 5684
KXIN, Consumer Cyclical, Auto & Truck Dealerships, 5687
KYMR, Healthcare, Biotechnology, 5688
KYOCY, Technology, Consumer Electronics, 5689
KYSEY, Utilities, Utilities - Diversified, 5690
KZIA, Healthcare, Biotechnology, 5692
KZR, Healthcare, Biotechnology, 5694
L, Financial Services, Insurance - Property & Casualty, 5695
LABP, Healthcare, Biotechnology, 5697
LAC, Basic Materials, Other Industrial Metals & Mining, 5699
LACQ, Financial Services, Shell Companies, 5700
LAD, Consumer Cyclical, Auto & Truck Dealerships, 5701
LADR, Real Estate, REIT - Mortgage, 5702
LAIX, Consumer Defensive, Education & Training Services, 5704
LAKE, Consumer Cyclical, Apparel Manufacturing, 5705
LAMR, Real Estate, REIT - Specialty, 5708
LANC, Consumer Defensive, Packaged Foods, 5709
LAND, Real Estate, REIT - Industrial, 5710
LAND.L, Real Estate, REIT - Industrial, 5711
LARK, Financial Services, Banks - Regional, 5712
LASR, Technology, Semiconductors, 5714
LATN, Financial Services, Shell Companies, 5715
LAUR, Consumer Defensive, Education & Training Services, 5716
LAWS, Industrials, Industrial Distribution, 5717
LAZ, Financial Services, Capital Markets, 5718
LAZR, Technology, Software - Application, 5719
LAZY, Consumer Cyclical, Auto & Truck Dealerships, 5720
LB, Consumer Cyclical, Apparel Retail, 5721
LBAI, Financial Services, Banks - Regional, 5722
LBC, Financial Services, Banks - Regional, 5723
LBPH, Healthcare, Biotechnology, 5725
LBRDA, Communication Services, Entertainment, 5727
LBRDB, Communication Services, Entertainment, 5728
LBRDK, Communication Services, Entertainment, 5729
LBRT, Energy, Oil & Gas Equipment & Services, 5730
LBRT.L, Energy, Oil & Gas Equipment & Services, 5731
LBTI, Basic Materials, Chemicals, 5732
LBTYA, Communication Services, Entertainment, 5733
LBTYB, Communication Services, Entertainment, 5734
LBTYK, Communication Services, Entertainment, 5735
LC, Financial Services, Credit Services, 5737
LCAA, Financial Services, Shell Companies, 5738
LCAP, Financial Services, Shell Companies, 5739
LCI, Healthcare, Drug Manufacturers - Specialty & Generic, 5742
LCII, Consumer Cyclical, Recreational Vehicles, 5743
LCNB, Financial Services, Banks - Regional, 5744
LCTC, Technology, Scientific & Technical Instruments, 5750
LCTX, Healthcare, Biotechnology, 5752
LCUT, Consumer Cyclical, Furnishings, Fixtures & Appliances, 5754
LCY, Financial Services, Shell Companies, 5756
LDHA, Financial Services, Shell Companies, 5764
LDI, Financial Services, Mortgage Finance, 5765
LDL, Industrials, Specialty Industrial Machinery, 5766
LDOS, Technology, Information Technology Services, 5767
LDSCY, Real Estate, REIT - Diversified, 5768
LE, Consumer Cyclical, Specialty Retail, 5770
LEA, Consumer Cyclical, Auto Parts, 5771
LEAF, Communication Services, Internet Content & Information, 5772
LEAP, Financial Services, Shell Companies, 5773
LEAT, Consumer Cyclical, Auto Parts, 5774
LECO, Industrials, Tools & Accessories, 5775
LEDS, Technology, Semiconductors, 5776
LEE, Communication Services, Publishing, 5777
LEG.DE, Consumer Cyclical, Furnishings, Fixtures & Appliances, 5779
LEG, Consumer Cyclical, Furnishings, Fixtures & Appliances, 5780
LEGA, Financial Services, Shell Companies, 5781
LEGH, Consumer Cyclical, Residential Construction, 5782
LEGN, Healthcare, Biotechnology, 5783
LEGO, Financial Services, Shell Companies, 5784
LEJU, Real Estate, Real Estate Services, 5787
LEN, Consumer Cyclical, Residential Construction, 5789
LESL, Consumer Cyclical, Home Improvement Retail, 5796
LEU, Energy, Uranium, 5797
LEV, Industrials, Farm & Heavy Construction Machinery, 5800
LEVI, Consumer Cyclical, Apparel Manufacturing, 5801
LEVL, Financial Services, Banks - Regional, 5802
LEXX, Consumer Defensive, Packaged Foods, 5803
LFC, Financial Services, Insurance - Life, 5804
LFGP, Financial Services, Banks - Regional, 5805
LFMD, Healthcare, Pharmaceutical Retailers, 5807
LFTR, Financial Services, Shell Companies, 5808
LFUS, Technology, Electronic Components, 5809
LFVN, Consumer Defensive, Packaged Foods, 5810
LGAC, Financial Services, Shell Companies, 5811
LGFRY, Real Estate, Real Estate - Development, 5823
LGHL, Financial Services, Asset Management, 5827
LGIH, Consumer Cyclical, Residential Construction, 5828
LGIQ, Technology, Software - Application, 5829
LGL, Technology, Electronic Components, 5833
LGND, Healthcare, Biotechnology, 5834
LGO, Basic Materials, Other Industrial Metals & Mining, 5835
LGRDY, Industrials, Specialty Industrial Machinery, 5837
LGVN, Healthcare, Biotechnology, 5842
LH, Healthcare, Diagnostics & Research, 5843
LHAA, Financial Services, Shell Companies, 5845
LHC, Financial Services, Shell Companies, 5846
LHCG, Healthcare, Medical Care Facilities, 5847
LHDX, Healthcare, Diagnostics & Research, 5848
LHX, Industrials, Aerospace & Defense, 5849
LI, Consumer Cyclical, Auto Manufacturers, 5850
LICT, Communication Services, Telecom Services, 5851
LIFE, Healthcare, Biotechnology, 5852
LII, Industrials, Specialty Industrial Machinery, 5854
LIII, Financial Services, Shell Companies, 5855
LILA, Communication Services, Telecom Services, 5856
LILAK, Communication Services, Telecom Services, 5857
LIN, Basic Materials, Specialty Chemicals, 5858
LIN.DE, Basic Materials, Specialty Chemicals, 5859
LINC, Consumer Defensive, Education & Training Services, 5860
LIND, Consumer Cyclical, Travel Services, 5861
LINK, Technology, Electronic Components, 5862
LINX, Technology, Software - Application, 5863
LIQT, Industrials, Pollution & Treatment Controls, 5865
LITB, Consumer Cyclical, Internet Retail, 5868
LITE, Technology, Communication Equipment, 5869
LITOF, Basic Materials, Other Industrial Metals & Mining, 5870
LIVE, Consumer Cyclical, Specialty Retail, 5872
LIVK, Financial Services, Shell Companies, 5873
LIVN, Healthcare, Medical Devices, 5874
LIVX, Communication Services, Entertainment, 5877
LIXT, Healthcare, Biotechnology, 5878
LIZI, Communication Services, Internet Content & Information, 5879
LJAQ, Financial Services, Shell Companies, 5880
LJPC, Healthcare, Biotechnology, 5882
LKCO, Communication Services, Internet Content & Information, 5884
LKFN, Financial Services, Banks - Regional, 5885
LKNCY, Consumer Cyclical, Restaurants, 5886
LKQ, Consumer Cyclical, Auto Parts, 5888
LL, Consumer Cyclical, Home Improvement Retail, 5889
LLESY, Real Estate, Real Estate - Diversified, 5890
LLKKF, Basic Materials, Other Industrial Metals & Mining, 5892
LLNW, Technology, Software - Infrastructure, 5893
LLY, Healthcare, Drug Manufacturers - General, 5895
LMACA, Financial Services, Shell Companies, 5896
LMAO, Financial Services, Shell Companies, 5897
LMAT, Healthcare, Medical Instruments & Supplies, 5898
LMB, Industrials, Engineering & Construction, 5899
LMFA, Financial Services, Credit Services, 5901
LMND, Financial Services, Insurance - Property & Casualty, 5902
LMNL, Healthcare, Biotechnology, 5903
LMNR, Consumer Defensive, Farm Products, 5904
LMNX, Healthcare, Medical Instruments & Supplies, 5905
LMPX, Consumer Cyclical, Auto & Truck Dealerships, 5907
LMRK, Real Estate, Real Estate Services, 5908
LMST, Financial Services, Banks - Regional, 5910
LMT, Industrials, Aerospace & Defense, 5911
LNC, Financial Services, Insurance - Life, 5912
LND, Consumer Defensive, Farm Products, 5913
LNDC, Consumer Defensive, Packaged Foods, 5914
LNEGY, Energy, Oil & Gas E&P, 5915
LNFA, Financial Services, Shell Companies, 5916
LNG, Energy, Oil & Gas Midstream, 5917
LNN, Industrials, Farm & Heavy Construction Machinery, 5920
LNNGY, Consumer Cyclical, Leisure, 5921
LNNNY, Industrials, Electrical Equipment & Parts, 5922
LNSTY, Financial Services, Financial Data & Stock Exchanges, 5923
LNT, Utilities, Utilities - Regulated Electric, 5925
LNTH, Healthcare, Diagnostics & Research, 5927
LOB, Financial Services, Banks - Regional, 5929
LOCO, Consumer Cyclical, Restaurants, 5932
LODE, Real Estate, Real Estate Services, 5933
LOGC, Healthcare, Biotechnology, 5935
LOGI, Technology, Computer Hardware, 5936
LOGN, Financial Services, Banks - Regional, 5938
LOKB, Financial Services, Shell Companies, 5940
LOKM, Financial Services, Shell Companies, 5941
LOMA, Basic Materials, Building Materials, 5942
LONE, Energy, Oil & Gas E&P, 5943
LOOP.L, Basic Materials, Specialty Chemicals, 5946
LOOP, Basic Materials, Specialty Chemicals, 5947
LOPE, Consumer Defensive, Education & Training Services, 5948
LORL, Communication Services, Telecom Services, 5949
LOTZ, Consumer Cyclical, Auto & Truck Dealerships, 5951
LOV, Communication Services, Internet Content & Information, 5952
LOVE, Consumer Cyclical, Furnishings, Fixtures & Appliances, 5953
LOW, Consumer Cyclical, Home Improvement Retail, 5954
LPBC, Financial Services, Banks - Regional, 5956
LPCN, Healthcare, Biotechnology, 5957
LPG, Energy, Oil & Gas Midstream, 5959
LPI, Energy, Oil & Gas E&P, 5960
LPL, Technology, Consumer Electronics, 5962
LPLA, Financial Services, Capital Markets, 5963
LPLA.L, Financial Services, Capital Markets, 5964
LPRO, Financial Services, Credit Services, 5965
LPSN, Technology, Software - Application, 5966
LPTH, Technology, Electronic Components, 5967
LPTX, Healthcare, Biotechnology, 5968
LPX, Industrials, Building Products & Equipment, 5969
LQDA, Healthcare, Biotechnology, 5970
LQDT, Consumer Cyclical, Internet Retail, 5974
LQMT, Industrials, Metal Fabrication, 5975
LRCX, Technology, Semiconductor Equipment & Materials, 5978
LRENY, Consumer Cyclical, Department Stores, 5980
LRLCY, Consumer Defensive, Household & Personal Products, 5981
LRMR, Healthcare, Biotechnology, 5982
LRN, Consumer Defensive, Education & Training Services, 5983
LSAQ, Financial Services, Shell Companies, 5987
LSBK, Financial Services, Banks - Regional, 5988
LSCC, Technology, Semiconductors, 5989
LSEA, Real Estate, Real Estate - Development, 5990
LSF, Consumer Defensive, Packaged Foods, 5992
LSFG, Financial Services, Banks - Regional, 5993
LSPD, Technology, Software - Application, 5996
LSRCY, Technology, Scientific & Technical Instruments, 5997
LSTR, Industrials, Integrated Freight & Logistics, 5998
LSYN, Technology, Software - Infrastructure, 6000
LTBR, Industrials, Electrical Equipment & Parts, 6002
LTC, Real Estate, REIT - Healthcare Facilities, 6003
LTHM, Basic Materials, Specialty Chemicals, 6005
LTMAQ, Industrials, Airlines, 6008
LTMCF, Basic Materials, Other Industrial Metals & Mining, 6009
LTRN, Healthcare, Biotechnology, 6010
LTRPA, Communication Services, Internet Content & Information, 6011
LTRPB, Communication Services, Internet Content & Information, 6012
LTRX, Technology, Communication Equipment, 6013
LU, Financial Services, Credit Services, 6015
LUB, Consumer Cyclical, Restaurants, 6016
LULU, Consumer Cyclical, Apparel Retail, 6020
LUMN, Communication Services, Telecom Services, 6021
LUMN, Communication Services, Telecom Services, 6022
LUMO, Healthcare, Biotechnology, 6023
LUNA, Technology, Scientific & Technical Instruments, 6024
LUNG, Healthcare, Medical Devices, 6025
LUV, Industrials, Airlines, 6027
LUVU, Consumer Cyclical, Furnishings, Fixtures & Appliances, 6028
LUXA, Financial Services, Shell Companies, 6029
LVMUY, Consumer Cyclical, Luxury Goods, 6030
LVRA, Financial Services, Shell Companies, 6031
LVS, Consumer Cyclical, Resorts & Casinos, 6032
LVTX, Healthcare, Biotechnology, 6033
LW, Consumer Defensive, Packaged Foods, 6034
LWAC, Financial Services, Shell Companies, 6035
LWAY, Consumer Defensive, Packaged Foods, 6036
LWLG, Basic Materials, Specialty Chemicals, 6041
LX, Financial Services, Credit Services, 6042
LXEH, Consumer Defensive, Education & Training Services, 6043
LXFR, Industrials, Specialty Industrial Machinery, 6044
LXRX, Healthcare, Biotechnology, 6046
LXU, Basic Materials, Chemicals, 6048
LYB, Basic Materials, Specialty Chemicals, 6050
LYBC, Financial Services, Banks - Regional, 6051
LYFT, Technology, Software - Application, 6052
LYG, Financial Services, Banks - Regional, 6053
LYL, Financial Services, Credit Services, 6054
LYRA, Healthcare, Biotechnology, 6060
LYTS, Technology, Electronic Components, 6063
LYV, Communication Services, Entertainment, 6064
LZAGY, Healthcare, Diagnostics & Research, 6069
LZB, Consumer Cyclical, Furnishings, Fixtures & Appliances, 6070
LZRFY, Industrials, Rental & Leasing Services, 6071
M, Consumer Cyclical, Department Stores, 6072
MA, Financial Services, Credit Services, 6075
MAA, Real Estate, REIT - Residential, 6076
MAAC, Financial Services, Shell Companies, 6077
MAAL, Financial Services, Insurance Brokers, 6078
MAC, Real Estate, REIT - Retail, 6081
MACA, Financial Services, Shell Companies, 6082
MACC, Financial Services, Shell Companies, 6083
MACE, Industrials, Security & Protection Services, 6084
MACK, Healthcare, Biotechnology, 6087
MACQ, Financial Services, Shell Companies, 6089
MACU, Financial Services, Shell Companies, 6090
MAG, Basic Materials, Silver, 6093
MAGOY, Industrials, Farm & Heavy Construction Machinery, 6096
MAGS, Industrials, Security & Protection Services, 6098
MAHLY, Healthcare, Medical Distribution, 6099
MAIN, Financial Services, Asset Management, 6102
MAJJ, Consumer Cyclical, Luxury Goods, 6104
MAKSY, Consumer Cyclical, Department Stores, 6105
MALRY, Basic Materials, Other Industrial Metals & Mining, 6106
MAN, Industrials, Staffing & Employment Services, 6108
MAN.DE, Industrials, Staffing & Employment Services, 6109
MANH, Technology, Software - Application, 6110
MANT, Technology, Software - Application, 6112
MANU, Consumer Cyclical, Leisure, 6113
MAR, Consumer Cyclical, Lodging, 6115
MARA, Financial Services, Capital Markets, 6116
MARK, Communication Services, Internet Content & Information, 6118
MARUY, Industrials, Conglomerates, 6120
MAS, Industrials, Building Products & Equipment, 6121
MASI, Healthcare, Medical Instruments & Supplies, 6122
MASS, Healthcare, Medical Devices, 6123
MAT, Consumer Cyclical, Leisure, 6125
MATW, Industrials, Conglomerates, 6128
MATX, Industrials, Marine Shipping, 6129
MAURY, Financial Services, Credit Services, 6130
MAUSY, Financial Services, Capital Markets, 6131
MAX, Communication Services, Internet Content & Information, 6134
MAXN, Technology, Solar, 6135
MAXR, Technology, Communication Equipment, 6136
MAYS, Real Estate, Real Estate Services, 6137
MBAC, Financial Services, Shell Companies, 6138
MBCN, Financial Services, Banks - Regional, 6139
MBI, Financial Services, Insurance - Specialty, 6141
MBII, Basic Materials, Agricultural Inputs, 6142
MBIN, Financial Services, Banks - Regional, 6143
MBIO, Healthcare, Biotechnology, 6144
MBOT, Healthcare, Medical Instruments & Supplies, 6146
MBRX, Healthcare, Biotechnology, 6147
MBT, Communication Services, Telecom Services, 6148
MBTC, Financial Services, Shell Companies, 6149
MBUU, Consumer Cyclical, Recreational Vehicles, 6150
MBWM, Financial Services, Banks - Regional, 6151
MC.PA, Financial Services, Capital Markets, 6152
MC, Financial Services, Capital Markets, 6153
MCAD, Financial Services, Shell Companies, 6154
MCARY, Consumer Cyclical, Internet Retail, 6155
MCB.L, Financial Services, Banks - Regional, 6156
MCB, Financial Services, Banks - Regional, 6157
MCBC, Financial Services, Banks - Regional, 6158
MCBI, Financial Services, Banks - Regional, 6159
MCBK, Financial Services, Banks - Regional, 6160
MCBS, Financial Services, Banks - Regional, 6161
MCCK, Industrials, Building Products & Equipment, 6162
MCD, Consumer Cyclical, Restaurants, 6163
MCEM, Basic Materials, Building Materials, 6164
MCF, Energy, Oil & Gas E&P, 6165
MCFE, Technology, Software - Application, 6166
MCFT, Consumer Cyclical, Recreational Vehicles, 6167
MCHB, Financial Services, Banks - Regional, 6168
MCHN.L, Financial Services, Banks - Regional, 6169
MCHN.SW, Financial Services, Banks - Regional, 6170
MCHOY, Communication Services, Entertainment, 6171
MCHP, Technology, Semiconductors, 6172
MCHX, Communication Services, Advertising Agencies, 6174
MCK, Healthcare, Medical Distribution, 6175
MCMJ, Financial Services, Shell Companies, 6180
MCO, Financial Services, Financial Data & Stock Exchanges, 6181
MCRAA, Consumer Cyclical, Footwear & Accessories, 6183
MCRAB, Consumer Cyclical, Footwear & Accessories, 6184
MCRB, Healthcare, Biotechnology, 6185
MCRI, Consumer Cyclical, Resorts & Casinos, 6186
MCS, Communication Services, Entertainment, 6188
MCVT, Financial Services, Asset Management, 6191
MCY, Financial Services, Insurance - Property & Casualty, 6192
MD, Healthcare, Medical Care Facilities, 6193
MDB, Technology, Software - Infrastructure, 6194
MDC, Consumer Cyclical, Residential Construction, 6195
MDC.L, Consumer Cyclical, Residential Construction, 6196
MDCA, Communication Services, Advertising Agencies, 6197
MDGL, Healthcare, Biotechnology, 6200
MDGS, Healthcare, Medical Devices, 6201
MDH, Financial Services, Shell Companies, 6202
MDIA, Communication Services, Broadcasting, 6203
MDIBY, Financial Services, Banks - Regional, 6204
MDJH, Real Estate, Real Estate Services, 6205
MDLA, Technology, Software - Application, 6206
MDLY, Financial Services, Asset Management, 6207
MDLZ, Consumer Defensive, Confectioners, 6208
MDP, Communication Services, Publishing, 6210
MDRR, Real Estate, REIT - Diversified, 6211
MDRX, Healthcare, Health Information Services, 6212
MDT, Healthcare, Medical Devices, 6213
MDU, Basic Materials, Building Materials, 6214
MDVT, Financial Services, Banks - Regional, 6215
MDWD, Healthcare, Biotechnology, 6216
MDWT, Financial Services, Insurance - Life, 6217
MDXG, Healthcare, Medical Devices, 6218
MEC, Industrials, Metal Fabrication, 6220
MED.L, Consumer Cyclical, Personal Services, 6221
MED, Consumer Cyclical, Personal Services, 6222
MEDP, Healthcare, Diagnostics & Research, 6223
MEDS, Healthcare, Pharmaceutical Retailers, 6224
MEEC, Industrials, Pollution & Treatment Controls, 6225
MEG, Industrials, Waste Management, 6226
MEI, Technology, Electronic Components, 6227
MEIP, Healthcare, Biotechnology, 6228
MELI, Consumer Cyclical, Internet Retail, 6231
MERC, Basic Materials, Paper & Paper Products, 6234
MERC.L, Basic Materials, Paper & Paper Products, 6235
MESA, Industrials, Airlines, 6236
MESO, Healthcare, Biotechnology, 6238
MET, Financial Services, Insurance - Life, 6239
METC, Basic Materials, Coking Coal, 6241
METX, Consumer Defensive, Education & Training Services, 6243
MFA, Real Estate, REIT - Mortgage, 6245
MFC, Financial Services, Insurance - Life, 6246
MFG, Financial Services, Banks - Regional, 6247
MFGP, Technology, Software - Infrastructure, 6248
MFH, Financial Services, Capital Markets, 6249
MFIN, Financial Services, Credit Services, 6250
MFNC, Financial Services, Banks - Regional, 6251
MFON, Technology, Software - Application, 6252
MG, Industrials, Security & Protection Services, 6253
MGA, Consumer Cyclical, Auto Parts, 6254
MGDDY, Consumer Cyclical, Auto Parts, 6257
MGEE, Utilities, Utilities - Diversified, 6258
MGI, Financial Services, Credit Services, 6260
MGIC, Technology, Software - Application, 6261
MGLN, Healthcare, Healthcare Plans, 6262
MGM, Consumer Cyclical, Resorts & Casinos, 6263
MGNI, Communication Services, Advertising Agencies, 6264
MGNX, Healthcare, Biotechnology, 6267
MGOM, Financial Services, Financial Conglomerates, 6268
MGP, Real Estate, REIT - Diversified, 6269
MGP.L, Real Estate, REIT - Diversified, 6270
MGPI, Basic Materials, Agricultural Inputs, 6271
MGRC, Industrials, Rental & Leasing Services, 6272
MGTA, Healthcare, Biotechnology, 6273
MGTI, Financial Services, Capital Markets, 6274
MGTX, Healthcare, Biotechnology, 6275
MGY, Energy, Oil & Gas E&P, 6276
MGYR, Financial Services, Banks - Regional, 6277
MHGU, Consumer Cyclical, Restaurants, 6279
MHGVY, Consumer Defensive, Farm Products, 6280
MHH, Industrials, Staffing & Employment Services, 6281
MHK, Consumer Cyclical, Furnishings, Fixtures & Appliances, 6282
MHLD, Financial Services, Insurance - Reinsurance, 6283
MHO, Consumer Cyclical, Residential Construction, 6285
MHPC, Real Estate, Real Estate Services, 6286
MHPC, Real Estate, Real Estate Services, 6287
MIC, Industrials, Airports & Air Services, 6288
MICR, Healthcare, Medical Devices, 6289
MICT, Technology, Computer Hardware, 6290
MIDD, Industrials, Specialty Industrial Machinery, 6291
MIDD.L, Industrials, Specialty Industrial Machinery, 6292
MIELY, Industrials, Electrical Equipment & Parts, 6294
MILE, Financial Services, Insurance - Property & Casualty, 6302
MIME, Technology, Software - Infrastructure, 6303
MIND.L, Technology, Scientific & Technical Instruments, 6304
MIND, Technology, Scientific & Technical Instruments, 6305
MIRM, Healthcare, Biotechnology, 6310
MIST, Healthcare, Biotechnology, 6311
MIT, Financial Services, Shell Companies, 6312
MITC, Consumer Defensive, Packaged Foods, 6313
MITEY, Real Estate, Real Estate - Diversified, 6314
MITK, Technology, Software - Application, 6315
MITO, Healthcare, Biotechnology, 6316
MITSY, Energy, Oil & Gas E&P, 6318
MITUY, Basic Materials, Specialty Chemicals, 6319
MIXT, Technology, Software - Application, 6321
MJARF, Healthcare, Drug Manufacturers - Specialty & Generic, 6322
MKC, Consumer Defensive, Packaged Foods, 6324
MKD, Basic Materials, Chemicals, 6326
MKGI, Consumer Cyclical, Travel Services, 6327
MKKGY, Healthcare, Drug Manufacturers - Specialty & Generic, 6328
MKL, Financial Services, Insurance - Property & Casualty, 6329
MKSI, Technology, Scientific & Technical Instruments, 6331
MKTAY, Industrials, Tools & Accessories, 6332
MKTX, Financial Services, Capital Markets, 6333
MKTY, Technology, Scientific & Technical Instruments, 6334
MLAB, Technology, Scientific & Technical Instruments, 6337
MLAC, Financial Services, Shell Companies, 6338
MLCO, Consumer Cyclical, Resorts & Casinos, 6339
MLGF, Financial Services, Banks - Regional, 6340
MLHR, Consumer Cyclical, Furnishings, Fixtures & Appliances, 6341
MLI, Industrials, Metal Fabrication, 6342
MLM, Basic Materials, Building Materials, 6344
MLND, Healthcare, Biotechnology, 6345
MLP.DE, Real Estate, Real Estate Services, 6349
MLP, Real Estate, Real Estate Services, 6350
MLR, Consumer Cyclical, Auto Parts, 6355
MLSS, Healthcare, Medical Instruments & Supplies, 6356
MLVF, Financial Services, Banks - Regional, 6358
MMAC, Financial Services, Mortgage Finance, 6360
MMC, Financial Services, Insurance Brokers, 6363
MMI, Real Estate, Real Estate Services, 6365
MMLP.L, Energy, Oil & Gas Midstream, 6368
MMM, Industrials, Specialty Industrial Machinery, 6369
MMM.L, Industrials, Specialty Industrial Machinery, 6370
MMMB, Consumer Defensive, Packaged Foods, 6371
MMP, Energy, Oil & Gas Midstream, 6372
MMS, Industrials, Specialty Business Services, 6373
MMSI, Healthcare, Medical Instruments & Supplies, 6374
MMSMY, Industrials, Conglomerates, 6375
MMX.L, Basic Materials, Other Precious Metals & Mining, 6377
MMYT, Consumer Cyclical, Travel Services, 6378
MN, Financial Services, Asset Management, 6379
MNBEY, Technology, Electronic Components, 6380
MNBO, Financial Services, Banks - Regional, 6381
MNDO, Technology, Software - Application, 6383
MNKD, Healthcare, Biotechnology, 6386
MNMD, Healthcare, Biotechnology, 6389
MNOV, Healthcare, Biotechnology, 6391
MNPR, Healthcare, Biotechnology, 6393
MNR, Real Estate, REIT - Industrial, 6394
MNRL, Energy, Oil & Gas E&P, 6396
MNRO, Consumer Cyclical, Auto Parts, 6397
MNSB, Financial Services, Banks - Regional, 6398
MNSO, Consumer Cyclical, Specialty Retail, 6399
MNST, Consumer Defensive, Beverages - Non-Alcoholic, 6400
MNTK, Utilities, Utilities - Diversified, 6402
MNTX, Industrials, Farm & Heavy Construction Machinery, 6403
MO, Consumer Defensive, Tobacco, 6405
MOBQ, Communication Services, Advertising Agencies, 6407
MOD, Consumer Cyclical, Auto Parts, 6408
MODD, Healthcare, Medical Devices, 6409
MODN, Technology, Software - Application, 6411
MODV, Healthcare, Medical Care Facilities, 6413
MOFG, Financial Services, Banks - Regional, 6414
MOGO, Technology, Software - Application, 6417
MOGU, Consumer Cyclical, Internet Retail, 6418
MOH, Healthcare, Healthcare Plans, 6419
MOHCY, Energy, Oil & Gas Refining & Marketing, 6420
MOHO, Consumer Cyclical, Internet Retail, 6421
MOMO, Communication Services, Internet Content & Information, 6422
MON, Financial Services, Shell Companies, 6423
MONDY, Basic Materials, Paper & Paper Products, 6424
MONOY, Industrials, Tools & Accessories, 6425
MOR.DE, Healthcare, Biotechnology, 6428
MOR, Healthcare, Biotechnology, 6429
MORF, Healthcare, Biotechnology, 6430
MORN, Financial Services, Financial Data & Stock Exchanges, 6431
MOS, Basic Materials, Agricultural Inputs, 6432
MOSY, Technology, Semiconductors, 6433
MOTN, Financial Services, Shell Companies, 6434
MOTS, Healthcare, Diagnostics & Research, 6436
MOTV, Financial Services, Shell Companies, 6437
MOV, Consumer Cyclical, Luxury Goods, 6438
MOVE, Healthcare, Medical Devices, 6439
MOXC, Communication Services, Internet Content & Information, 6440
MP, Basic Materials, Other Industrial Metals & Mining, 6441
MPAA, Consumer Cyclical, Auto Parts, 6442
